month,division,line,day_type,incidents,reporting_category
2024-01-01T00:00:00.000,A DIVISION,1,1,0,
2024-01-01T00:00:00.000,A DIVISION,1,1,31,Crew Availability
2024-01-01T00:00:00.000,A DIVISION,1,1,2,External Factors
2024-01-01T00:00:00.000,A DIVISION,1,1,92,Infrastructure & Equipment
2024-01-01T00:00:00.000,A DIVISION,1,1,86,Operating Conditions
2024-01-01T00:00:00.000,A DIVISION,1,1,49,Planned ROW Work
2024-01-01T00:00:00.000,A DIVISION,1,1,86,Police & Medical
2024-01-01T00:00:00.000,A DIVISION,1,2,0,
2024-01-01T00:00:00.000,A DIVISION,1,2,2,Crew Availability
2024-01-01T00:00:00.000,A DIVISION,1,2,0,External Factors
2024-01-01T00:00:00.000,A DIVISION,1,2,18,Infrastructure & Equipment
2024-01-01T00:00:00.000,A DIVISION,1,2,9,Operating Conditions
2024-01-01T00:00:00.000,A DIVISION,1,2,10,Planned ROW Work
2024-01-01T00:00:00.000,A DIVISION,1,2,16,Police & Medical
2024-01-01T00:00:00.000,A DIVISION,2,1,0,
2024-01-01T00:00:00.000,A DIVISION,2,1,22,Crew Availability
2024-01-01T00:00:00.000,A DIVISION,2,1,5,External Factors
2024-01-01T00:00:00.000,A DIVISION,2,1,63,Infrastructure & Equipment
2024-01-01T00:00:00.000,A DIVISION,2,1,92,Operating Conditions
2024-01-01T00:00:00.000,A DIVISION,2,1,47,Planned ROW Work
2024-01-01T00:00:00.000,A DIVISION,2,1,65,Police & Medical
2024-01-01T00:00:00.000,A DIVISION,2,2,0,
2024-01-01T00:00:00.000,A DIVISION,2,2,6,Crew Availability
2024-01-01T00:00:00.000,A DIVISION,2,2,2,External Factors
2024-01-01T00:00:00.000,A DIVISION,2,2,19,Infrastructure & Equipment
2024-01-01T00:00:00.000,A DIVISION,2,2,49,Operating Conditions
2024-01-01T00:00:00.000,A DIVISION,2,2,19,Planned ROW Work
2024-01-01T00:00:00.000,A DIVISION,2,2,25,Police & Medical
2024-01-01T00:00:00.000,A DIVISION,3,1,0,
2024-01-01T00:00:00.000,A DIVISION,3,1,10,Crew Availability
2024-01-01T00:00:00.000,A DIVISION,3,1,0,External Factors
2024-01-01T00:00:00.000,A DIVISION,3,1,26,Infrastructure & Equipment
2024-01-01T00:00:00.000,A DIVISION,3,1,67,Operating Conditions
2024-01-01T00:00:00.000,A DIVISION,3,1,8,Planned ROW Work
2024-01-01T00:00:00.000,A DIVISION,3,1,45,Police & Medical
2024-01-01T00:00:00.000,A DIVISION,3,2,0,
2024-01-01T00:00:00.000,A DIVISION,3,2,4,Crew Availability
2024-01-01T00:00:00.000,A DIVISION,3,2,0,External Factors
2024-01-01T00:00:00.000,A DIVISION,3,2,15,Infrastructure & Equipment
2024-01-01T00:00:00.000,A DIVISION,3,2,35,Operating Conditions
2024-01-01T00:00:00.000,A DIVISION,3,2,13,Planned ROW Work
2024-01-01T00:00:00.000,A DIVISION,3,2,17,Police & Medical
2024-01-01T00:00:00.000,A DIVISION,4,1,0,
2024-01-01T00:00:00.000,A DIVISION,4,1,17,Crew Availability
2024-01-01T00:00:00.000,A DIVISION,4,1,5,External Factors
2024-01-01T00:00:00.000,A DIVISION,4,1,66,Infrastructure & Equipment
2024-01-01T00:00:00.000,A DIVISION,4,1,54,Operating Conditions
2024-01-01T00:00:00.000,A DIVISION,4,1,26,Planned ROW Work
2024-01-01T00:00:00.000,A DIVISION,4,1,91,Police & Medical
2024-01-01T00:00:00.000,A DIVISION,4,2,0,
2024-01-01T00:00:00.000,A DIVISION,4,2,8,Crew Availability
2024-01-01T00:00:00.000,A DIVISION,4,2,0,External Factors
2024-01-01T00:00:00.000,A DIVISION,4,2,15,Infrastructure & Equipment
2024-01-01T00:00:00.000,A DIVISION,4,2,58,Operating Conditions
2024-01-01T00:00:00.000,A DIVISION,4,2,11,Planned ROW Work
2024-01-01T00:00:00.000,A DIVISION,4,2,43,Police & Medical
2024-01-01T00:00:00.000,A DIVISION,5,1,0,
