month,division,line,day_type,num_sched_trains,num_actual_trains,service_delivered
2024-01-01T00:00:00.000,A DIVISION,1,1,1696,1499,0.8838443
2024-01-01T00:00:00.000,A DIVISION,1,2,864,819,0.9479167
2024-01-01T00:00:00.000,A DIVISION,2,1,2244,2027,0.90329766
2024-01-01T00:00:00.000,A DIVISION,2,2,1117,1067,0.95523727
2024-01-01T00:00:00.000,A DIVISION,3,1,2069,1937,0.93620104
2024-01-01T00:00:00.000,A DIVISION,3,2,1069,1038,0.9710009
2024-01-01T00:00:00.000,A DIVISION,4,1,2941,2744,0.933016
2024-01-01T00:00:00.000,A DIVISION,4,2,1832,1764,0.9628821
2024-01-01T00:00:00.000,A DIVISION,5,1,2778,2550,0.91792655
2024-01-01T00:00:00.000,A DIVISION,5,2,751,741,0.98668444
2024-01-01T00:00:00.000,A DIVISION,6,1,2194,2076,0.94621694
2024-01-01T00:00:00.000,A DIVISION,6,2,1136,1098,0.9665493
2024-01-01T00:00:00.000,A DIVISION,7,1,2758,2550,0.924583
2024-01-01T00:00:00.000,A DIVISION,S 42nd,1,2103,2070,0.9843081
2024-01-01T00:00:00.000,A DIVISION,S 42nd,2,1440,1440,1.0
2024-01-01T00:00:00.000,B DIVISION,A,1,2716,2491,0.9171576
2024-01-01T00:00:00.000,B DIVISION,A,2,1480,1428,0.96486485
2024-01-01T00:00:00.000,B DIVISION,B,1,1752,1600,0.913242
2024-01-01T00:00:00.000,B DIVISION,C,1,1611,1468,0.9112353
2024-01-01T00:00:00.000,B DIVISION,C,2,1230,1163,0.94552845
2024-01-01T00:00:00.000,B DIVISION,D,1,1845,1709,0.92628723
2024-01-01T00:00:00.000,B DIVISION,D,2,1230,1180,0.9593496
2024-01-01T00:00:00.000,B DIVISION,E,1,1555,1465,0.94212216
2024-01-01T00:00:00.000,B DIVISION,E,2,913,881,0.96495074
2024-01-01T00:00:00.000,B DIVISION,F,1,3016,2634,0.87334216
2024-01-01T00:00:00.000,B DIVISION,F,2,1245,1202,0.96546185
2024-01-01T00:00:00.000,B DIVISION,G,1,978,938,0.9591002
2024-01-01T00:00:00.000,B DIVISION,G,2,1783,1789,1.0033652
2024-01-01T00:00:00.000,B DIVISION,JZ,1,1074,1024,0.9534451
2024-01-01T00:00:00.000,B DIVISION,JZ,2,861,819,0.9512195
2024-01-01T00:00:00.000,B DIVISION,L,1,2049,1939,0.9463153
2024-01-01T00:00:00.000,B DIVISION,L,2,1539,1469,0.95451593
2024-01-01T00:00:00.000,B DIVISION,M,1,758,756,0.9973615
2024-01-01T00:00:00.000,B DIVISION,M,2,866,843,0.9734411
2024-01-01T00:00:00.000,B DIVISION,N,1,1919,1739,0.9062011
2024-01-01T00:00:00.000,B DIVISION,N,2,625,576,0.9216
2024-01-01T00:00:00.000,B DIVISION,Q,1,2124,1916,0.90207154
2024-01-01T00:00:00.000,B DIVISION,Q,2,457,418,0.9146608
2024-01-01T00:00:00.000,B DIVISION,R,1,2345,2119,0.9036247
2024-01-01T00:00:00.000,B DIVISION,R,2,1841,1695,0.92069525
2024-01-01T00:00:00.000,B DIVISION,S Fkln,1,762,760,0.9973753
2024-01-01T00:00:00.000,B DIVISION,S Fkln,2,664,658,0.9909639
2024-01-01T00:00:00.000,B DIVISION,S Rock,1,439,439,1.0
